x,year,date,ARI,ARI_per,COL,COL_per,LAD,LAD_per,SDP,SDP_per,SFG,SFG_per
777,2012,2012/4/21,30188,61.51275573,24762,50.25674332,44014,78.59642857,18356,41.30884868,42375,98.72559527
780,2012,2012/4/22,28679,58.437933,36690,74.46571005,26345,47.04464286,16218,36.49743451,42060,97.99170589
783,2012,2012/4/24,24213,49.33776184,25227,51.20050334,44807,80.0125,19260,43.34323521,41439,96.54489539
786,2012,2012/4/25,25934,52.84456761,26211,53.19762132,54242,96.86071429,29201,65.7147358,41575,96.86174922
813,2012,2012/5/7,26447,53.88988508,30276,61.44791054,48753,87.05892857,25076,56.43172203,41159,95.89254928
815,2012,2012/5/8,30156,61.44755074,33184,67.34996245,43713,78.05892857,33572,75.55135476,41082,95.71315409
817,2012,2012/5/9,27710,56.46344445,40013,81.21004242,32799,58.56964286,15895,35.7705464,41135,95.83663389
820,2012,2012/5/11,35792,72.93177928,45330,92.00138012,33993,60.70178571,21019,47.30173733,41796,97.37663669
821,2012,2012/5/12,31719,64.63240688,32162,65.27572,35591,63.55535714,27883,62.74867225,41254,96.11388099
823,2012,2012/5/13,35430,72.19414785,32035,65.01796188,33735,60.24107143,31389,70.63867135,41332,96.29560598
847,2012,2012/5/21,24768,50.46866085,34887,70.80635668,49124,87.72142857,43427,97.72931857,41324,96.27696752
848,2012,2012/5/22,25738,52.44518706,30784,62.47894299,24312,43.41428571,33975,76.45827707,41225,96.04631657
849,2012,2012/5/23,27645,56.33099682,36662,74.40888149,47077,84.06607143,27054,60.88306778,41477,96.63342808
850,2012,2012/5/25,35478,72.29195533,34546,70.114266,40906,73.04642857,36559,82.27338194,41411,96.47966078
852,2012,2012/5/26,30184,61.5046051,35786,72.63095939,39383,70.32678571,32228,72.52678009,41378,96.40277713
855,2012,2012/5/27,33481,68.22275654,28102,57.03557874,44005,78.58035714,30662,69.0026105,42295,98.53921066
874,2012,2012/6/4,22881,46.62360421,31799,64.5389783,36283,64.79107143,22269,50.11477181,41371,96.38646848
876,2012,2012/6/5,22322,45.48455457,36175,73.42047046,36561,65.2875,22015,49.5431632,41328,96.28628675
879,2012,2012/6/6,23069,47.00668351,35353,71.75214629,33306,59.475,29315,65.97128454,41100,95.75509063
881,2012,2012/6/8,25787,52.54503219,41814,84.86533661,38016,67.88571429,25889,58.26131965,41239,96.07893388
884,2012,2012/6/9,28061,57.17866167,37722,76.56024842,25509,45.55178571,23942,53.87973715,41112,95.78304832
886,2012,2012/6/10,28112,57.28258212,33635,68.26530819,26773,47.80892857,30053,67.6321001,41524,96.74292903
900,2012,2012/6/18,24284,49.48243541,32155,65.26151286,50559,90.28392857,30922,69.58772167,41163,95.90186851
902,2012,2012/6/19,21568,43.94816203,32527,66.01652087,55279,98.7125,27529,61.95202088,41704,97.16229439
905,2012,2012/6/20,29630,60.37574374,40177,81.54289542,43494,77.66785714,25181,56.66801692,42100,98.08489819
907,2012,2012/6/22,34654,70.61292689,36110,73.28854702,40432,72.2,26016,58.54712395,42298,98.54620008
909,2012,2012/6/23,38542,78.53533295,33957,68.91883664,45210,80.73214286,34222,77.01413269,41662,97.06444248
911,2012,2012/6/24,33448,68.1555139,42785,86.8360699,53504,95.54285714,24032,54.08227563,42164,98.23400587
929,2012,2012/7/2,19633,40.00529791,48169,97.76339023,49006,87.51071429,26098,58.73165902,42664,99.39890965
931,2012,2012/7/3,21329,43.46116228,31829,64.59986605,49763,88.8625,20944,47.13295526,42245,98.42272028
933,2012,2012/7/4,48819,99.47632244,33346,67.67875627,44217,78.95892857,25713,57.8652444,41626,96.9805694
935,2012,2012/7/5,23002,46.87016057,35151,71.34216882,55359,98.85535714,26735,60.16518138,41960,97.75872513
937,2012,2012/7/6,24891,50.71929253,25685,52.13005622,34493,61.59464286,25507,57.40165631,42135,98.16644145
940,2012,2012/7/7,36903,75.19561496,36907,74.9061314,33884,60.50714286,37174,83.65739491,42039,97.94277993
942,2012,2012/7/8,30523,62.19537045,42574,86.4078261,53570,95.66071429,25198,56.70627419,42116,98.12217511
961,2012,2012/7/20,23567,48.02143614,30842,62.59665929,43873,78.34464286,34573,77.80403277,42171,98.25031452
963,2012,2012/7/21,35665,72.67299698,38214,77.55880741,54014,96.45357143,36826,82.87424611,42265,98.46931643
965,2012,2012/7/22,20951,42.69092836,42826,86.91928315,39715,70.91964286,24635,55.43928346,42430,98.85373468
967,2012,2012/7/23,20056,40.86722634,29430,59.73087617,32238,57.56785714,27187,61.18237465,42559,99.15427986
969,2012,2012/7/24,20432,41.63338495,31297,63.5201234,39955,71.34821429,24663,55.50229544,41871,97.55137226
971,2012,2012/7/25,23385,47.65058277,29547,59.96833837,33180,59.25,38755,87.21532091,41681,97.10870882
973,2012,2012/7/27,23150,47.17173364,29659,60.19565262,52832,94.34285714,33849,76.1747232,42030,97.92181166
976,2012,2012/7/28,33759,68.78922488,30176,61.24495139,36596,65.35,28605,64.37348096,41902,97.62359629
980,2012,2012/7/29,32134,65.47803407,35242,71.52686164,43537,77.74464286,20401,45.91097308,41300,96.22105214
1005,2012,2012/8/10,29362,59.82965197,26821,54.4356721,46588,83.19285714,21882,49.24385633,41774,97.32538092
1007,2012,2012/8/11,34030,69.34142962,28036,56.9016257,42495,75.88392857,20955,47.15770996,42188,98.28992125
1009,2012,2012/8/12,27345,55.71970006,23411,47.51476528,32659,58.31964286,16845,37.90845261,41843,97.48613765
1024,2012,2012/8/20,17707,36.08077268,24807,50.34807493,55024,98.25714286,25403,57.16761185,41729,97.22053958
1027,2012,2012/8/21,17434,35.52449262,25614,51.98595523,37084,66.22142857,25514,57.41740931,42483,98.97721448
