x,year,date,CHC,CHC_per,CIN,CIN_per,MIL,MIL_per,PIT,PIT_per,STL,STL_per
1026,2012,2012/8/26,32346,76.33454477,28754,67.19951389,32217,71.14119154,34203,86.55919421,43786,92.19658048
1029,2012,2012/8/27,32541,76.79473262,41615,97.25630419,31319,69.15823875,27586,69.81323075,43424,91.43434684
1031,2012,2012/8/28,30017,70.83824987,36162,84.51237468,41213,91.00605044,32497,82.24173711,42411,89.30135602
1033,2012,2012/8/29,33271,78.51748714,41680,97.40821239,33788,74.61025482,33935,85.88095359,42806,90.13307504
1034,2012,2012/8/30,28859,68.10544202,31564,73.76662226,30117,66.50399682,24213,61.27701574,38195,80.42407142
1035,2012,2012/8/31,32476,76.64133667,22487,52.5532263,39163,86.47926512,22655,57.33410943,37841,79.67868273
1038,2012,2012/9/1,32477,76.64369661,17806,41.6134988,43386,95.80444287,25175,63.71159589,36607,77.08035037
1040,2012,2012/9/2,39760,93.83112286,19267,45.02792774,42224,93.23852846,20558,52.02712962,41505,87.3936663
1064,2012,2012/9/14,26946,63.5908812,23785,55.58671621,28776,63.54281676,38702,97.94503214,42036,88.51174935
1066,2012,2012/9/16,33559,79.1971492,35018,81.83879034,30743,67.88632248,39485,99.92660829,40274,84.8016508
1068,2012,2012/9/17,33017,77.91806296,33438,78.14625254,33877,74.80678355,35352,89.46702435,38652,81.38633875
1070,2012,2012/9/18,32547,76.80889225,16577,38.74126528,32060,70.79450603,24670,62.43356785,41293,86.94727533
1072,2012,2012/9/19,31001,73.16042856,19620,45.85290612,32728,72.26957559,22729,57.52138483,36906,77.70993009
1075,2012,2012/9/20,25891,61.10114693,21203,49.55245507,34395,75.95062492,26522,67.12051425,32810,69.08531963
1078,2012,2012/9/22,40298,95.10076934,35397,82.72453201,27382,60.46460275,25073,63.45345953,34587,72.82700244
1081,2012,2012/9/23,33354,78.71336197,41117,96.09245367,37847,83.57328976,37197,94.1362555,33572,70.68980039
1096,2012,2012/10/1,32167,75.91211592,32932,76.96370563,38216,84.38811112,37460,94.80184238,36758,77.39829866
1100,2012,2012/10/2,33168,78.27441356,18155,42.42912898,38677,85.40608577,36626,92.69119806,38689,81.46424661
1103,2012,2012/10/3,27606,65.14844008,20570,48.0731029,41716,92.11676898,16700,42.26350154,40313,84.8837699
1106,2013,2013/4/8,40083,94.59338273,23411,54.7126598,34294,75.72759793,17492,44.26785443,43412,91.40907942
1108,2013,2013/4/9,30065,70.95152688,32514,75.98681904,38443,84.88936978,19398,49.09146125,35370,74.47570117
1111,2013,2013/4/11,25460,60.08401378,17387,40.63427516,30398,67.12449764,12785,32.35562079,35198,74.11353491
1113,2013,2013/4/12,30996,73.14862888,15544,36.32709341,30714,67.82228503,14159,35.83286936,30343,63.89076055
1116,2013,2013/4/13,34778,82.07391325,16467,38.48418986,37733,83.32155633,32699,82.75294832,40952,86.22925966
1118,2013,2013/4/14,33326,78.64728371,26112,61.0250298,29075,64.20306496,35661,90.24902566,34108,71.81841152
